yil,sinav,ders,soru_no,cevap
2020,AYT,Fen,7,A
2020,AYT,Fen,8,B
2020,AYT,Fen,9,A
2020,AYT,Fen,10,A
2020,AYT,Fen,11,B
2020,AYT,Fen,12,C
2020,AYT,Fen,13,A
2020,AYT,Fen,14,A
2020,AYT,Fen,15,D
2020,AYT,Fen,16,D
2020,AYT,Fen,17,D
2020,AYT,Fen,18,C
2020,AYT,Fen,19,B
2020,AYT,Fen,20,C
2020,AYT,Fen,21,B
2020,AYT,Fen,22,A
2020,AYT,Fen,23,E
2020,AYT,Fen,24,A
2020,AYT,Fen,25,E
2020,AYT,Fen,26,D
2020,AYT,Fen,27,D
2020,AYT,Fen,28,B
2020,AYT,Fen,29,E
2020,AYT,Fen,30,C
2020,AYT,Fen,31,B
2020,AYT,Fen,32,E
2020,AYT,Fen,33,C
2020,AYT,Fen,34,B
2020,AYT,Fen,35,E
2020,AYT,Fen,36,E
2020,AYT,Fen,37,C
2020,AYT,Fen,38,C
2020,AYT,Fen,39,B
2020,AYT,Fen,40,D
2020,AYT,Edebiyat-Sosyal1,1,D
2020,AYT,Edebiyat-Sosyal1,2,B
2020,AYT,Edebiyat-Sosyal1,3,C
2020,AYT,Edebiyat-Sosyal1,4,E
2020,AYT,Edebiyat-Sosyal1,5,D
2020,AYT,Edebiyat-Sosyal1,6,C
2020,AYT,Edebiyat-Sosyal1,7,A
2020,AYT,Edebiyat-Sosyal1,8,B
2020,AYT,Edebiyat-Sosyal1,9,D
2020,AYT,Edebiyat-Sosyal1,10,B
2020,AYT,Edebiyat-Sosyal1,11,C
2020,AYT,Edebiyat-Sosyal1,12,A
2020,AYT,Edebiyat-Sosyal1,13,E
2020,AYT,Edebiyat-Sosyal1,14,A
2020,AYT,Edebiyat-Sosyal1,15,E
2020,AYT,Edebiyat-Sosyal1,16,D
2020,AYT,Edebiyat-Sosyal1,17,E
2020,AYT,Edebiyat-Sosyal1,18,B
2020,AYT,Edebiyat-Sosyal1,19,C
2020,AYT,Edebiyat-Sosyal1,20,A
2020,AYT,Edebiyat-Sosyal1,21,D
2020,AYT,Edebiyat-Sosyal1,22,C
2020,AYT,Edebiyat-Sosyal1,23,E
2020,AYT,Edebiyat-Sosyal1,24,A
2020,AYT,Edebiyat-Sosyal1,25,D
2020,AYT,Edebiyat-Sosyal1,26,C
2020,AYT,Edebiyat-Sosyal1,27,A
2020,AYT,Edebiyat-Sosyal1,28,E
2020,AYT,Edebiyat-Sosyal1,29,A
2020,AYT,Edebiyat-Sosyal1,30,E
2020,AYT,Edebiyat-Sosyal1,31,C
2020,AYT,Edebiyat-Sosyal1,32,E
2020,AYT,Edebiyat-Sosyal1,33,B
2020,AYT,Edebiyat-Sosyal1,34,D
2020,AYT,Edebiyat-Sosyal1,35,D
2020,AYT,Edebiyat-Sosyal1,36,A
2020,AYT,Edebiyat-Sosyal1,37,B
2020,AYT,Edebiyat-Sosyal1,38,C
2020,AYT,Edebiyat-Sosyal1,39,D
2020,AYT,Edebiyat-Sosyal1,40,E
2021,AYT,Matematik,1,E
2021,AYT,Matematik,2,D
2021,AYT,Matematik,3,A
2021,AYT,Matematik,4,A
2021,AYT,Matematik,5,A
2021,AYT,Matematik,6,C
2021,AYT,Matematik,7,C
2021,AYT,Matematik,8,E
2021,AYT,Matematik,9,D
2021,AYT,Matematik,10,B
2021,AYT,Matematik,11,A
2021,AYT,Matematik,12,C
2021,AYT,Matematik,13,C
2021,AYT,Matematik,14,D
2021,AYT,Matematik,15,D
2021,AYT,Matematik,16,C
2021,AYT,Matematik,17,E
2021,AYT,Matematik,18,A
2021,AYT,Matematik,19,E
2021,AYT,Matematik,20,E
2021,AYT,Matematik,21,B
2021,AYT,Matematik,22,B
2021,AYT,Matematik,23,B
2021,AYT,Matematik,24,C
2021,AYT,Matematik,25,D
2021,AYT,Matematik,26,E
2021,AYT,Matematik,27,D
2021,AYT,Matematik,28,C
2021,AYT,Matematik,29,D
2021,AYT,Matematik,30,E
2021,AYT,Matematik,31,D
2021,AYT,Matematik,32,D
2021,AYT,Matematik,33,D
2021,AYT,Matematik,34,B
2021,AYT,Matematik,35,B
2021,AYT,Matematik,36,A
2021,AYT,Matematik,37,C
2021,AYT,Matematik,38,A
2021,AYT,Matematik,39,D
2021,AYT,Matematik,40,B
2021,AYT,Fen,1,B
2021,AYT,Fen,2,C
2021,AYT,Fen,3,E
2021,AYT,Fen,4,D
2021,AYT,Fen,5,B
2021,AYT,Fen,6,A
2021,AYT,Fen,7,B
2021,AYT,Fen,8,A
2021,AYT,Fen,9,C
2021,AYT,Fen,10,D
2021,AYT,Fen,11,A
2021,AYT,Fen,12,B
2021,AYT,Fen,13,B
2021,AYT,Fen,14,C
2021,AYT,Fen,15,A
2021,AYT,Fen,16,D
2021,AYT,Fen,17,C
2021,AYT,Fen,18,B
2021,AYT,Fen,19,A
2021,AYT,Fen,20,E
2021,AYT,Fen,21,D
2021,AYT,Fen,22,B
2021,AYT,Fen,23,A
2021,AYT,Fen,24,B
2021,AYT,Fen,25,D
2021,AYT,Fen,26,C
2021,AYT,Fen,27,E
2021,AYT,Fen,28,E
2021,AYT,Fen,29,B
2021,AYT,Fen,30,D
2021,AYT,Fen,31,C
2021,AYT,Fen,32,A
2021,AYT,Fen,33,E
2021,AYT,Fen,34,B
2021,AYT,Fen,35,D
2021,AYT,Fen,36,A
2021,AYT,Fen,37,C
2021,AYT,Fen,38,E
2021,AYT,Fen,39,B
2021,AYT,Fen,40,A
2021,AYT,Sosyal2,1,A
2021,AYT,Sosyal2,2,D
2021,AYT,Sosyal2,3,E
2021,AYT,Sosyal2,4,C
2021,AYT,Sosyal2,5,E
2021,AYT,Sosyal2,6,D
2021,AYT,Sosyal2,7,A
2021,AYT,Sosyal2,8,A
2021,AYT,Sosyal2,9,D
2021,AYT,Sosyal2,10,D
2021,AYT,Sosyal2,11,C
2021,AYT,Sosyal2,12,E
2021,AYT,Sosyal2,13,A
2021,AYT,Sosyal2,14,C
2021,AYT,Sosyal2,15,A
2021,AYT,Sosyal2,16,B
2021,AYT,Sosyal2,17,E
2021,AYT,Sosyal2,18,E
2021,AYT,Sosyal2,19,B
2021,AYT,Sosyal2,20,D
2021,AYT,Sosyal2,21,D
2021,AYT,Sosyal2,22,E
2021,AYT,Sosyal2,23,B
2021,AYT,Sosyal2,24,A
2021,AYT,Sosyal2,25,D
2021,AYT,Sosyal2,26,E
2021,AYT,Sosyal2,27,D
2021,AYT,Sosyal2,28,D
2021,AYT,Sosyal2,29,C
2021,AYT,Sosyal2,30,B
2021,AYT,Sosyal2,31,B
2021,AYT,Sosyal2,32,E
2021,AYT,Sosyal2,33,A
2021,AYT,Sosyal2,34,C
2021,AYT,Sosyal2,35,B
2021,AYT,Sosyal2,36,B
2021,AYT,Sosyal2,37,A
2021,AYT,Sosyal2,38,C
2021,AYT,Sosyal2,39,E
2021,AYT,Sosyal2,40,B
2021,AYT,Sosyal2,41,B
2021,AYT,Sosyal2,42,D
2021,AYT,Sosyal2,43,C
2021,AYT,Sosyal2,44,C
2021,AYT,Sosyal2,45,E
2021,AYT,Sosyal2,46,C
2021,AYT,Edebiyat-Sosyal1,1,C
2021,AYT,Edebiyat-Sosyal1,2,A
2021,AYT,Edebiyat-Sosyal1,3,A
2021,AYT,Edebiyat-Sosyal1,4,C
2021,AYT,Edebiyat-Sosyal1,5,D
2021,AYT,Edebiyat-Sosyal1,6,E
2021,AYT,Edebiyat-Sosyal1,7,D
2021,AYT,Edebiyat-Sosyal1,8,E
2021,AYT,Edebiyat-Sosyal1,9,A
2021,AYT,Edebiyat-Sosyal1,10,D
2021,AYT,Edebiyat-Sosyal1,11,C
2021,AYT,Edebiyat-Sosyal1,12,C
2021,AYT,Edebiyat-Sosyal1,13,A
2021,AYT,Edebiyat-Sosyal1,14,A
2021,AYT,Edebiyat-Sosyal1,15,B
2021,AYT,Edebiyat-Sosyal1,16,E
2021,AYT,Edebiyat-Sosyal1,17,B
2021,AYT,Edebiyat-Sosyal1,18,D
2021,AYT,Edebiyat-Sosyal1,19,A
2021,AYT,Edebiyat-Sosyal1,20,A
2021,AYT,Edebiyat-Sosyal1,21,B
2021,AYT,Edebiyat-Sosyal1,22,C
2021,AYT,Edebiyat-Sosyal1,23,D
2021,AYT,Edebiyat-Sosyal1,24,A
2021,AYT,Edebiyat-Sosyal1,25,B
2021,AYT,Edebiyat-Sosyal1,26,C
2021,AYT,Edebiyat-Sosyal1,27,A
2021,AYT,Edebiyat-Sosyal1,28,C
2021,AYT,Edebiyat-Sosyal1,29,E
2021,AYT,Edebiyat-Sosyal1,30,D
2021,AYT,Edebiyat-Sosyal1,31,C
2021,AYT,Edebiyat-Sosyal1,32,C
2021,AYT,Edebiyat-Sosyal1,33,E
2021,AYT,Edebiyat-Sosyal1,34,A
2021,AYT,Edebiyat-Sosyal1,35,D
2021,AYT,Edebiyat-Sosyal1,36,A
2021,AYT,Edebiyat-Sosyal1,37,B
2021,AYT,Edebiyat-Sosyal1,38,E
2021,AYT,Edebiyat-Sosyal1,39,B
2021,AYT,Edebiyat-Sosyal1,40,D
2022,AYT,Edebiyat-Sosyal1,1,A
2022,AYT,Edebiyat-Sosyal1,2,D
2022,AYT,Edebiyat-Sosyal1,3,D
2022,AYT,Edebiyat-Sosyal1,4,C
2022,AYT,Edebiyat-Sosyal1,5,A
2022,AYT,Edebiyat-Sosyal1,6,E
2022,AYT,Edebiyat-Sosyal1,7,C
2022,AYT,Edebiyat-Sosyal1,8,E
2022,AYT,Edebiyat-Sosyal1,9,C
2022,AYT,Edebiyat-Sosyal1,10,E
2022,AYT,Edebiyat-Sosyal1,11,E
2022,AYT,Edebiyat-Sosyal1,12,C
2022,AYT,Edebiyat-Sosyal1,13,B
2022,AYT,Edebiyat-Sosyal1,14,C
2022,AYT,Edebiyat-Sosyal1,15,E
2022,AYT,Edebiyat-Sosyal1,16,B
2022,AYT,Edebiyat-Sosyal1,17,A
2022,AYT,Edebiyat-Sosyal1,18,D
2022,AYT,Edebiyat-Sosyal1,19,B
2022,AYT,Edebiyat-Sosyal1,20,B
2022,AYT,Edebiyat-Sosyal1,21,C
2022,AYT,Edebiyat-Sosyal1,22,B
2022,AYT,Edebiyat-Sosyal1,23,D
2022,AYT,Edebiyat-Sosyal1,24,D
2022,AYT,Edebiyat-Sosyal1,25,B
2022,AYT,Edebiyat-Sosyal1,26,A
2022,AYT,Edebiyat-Sosyal1,27,A
2022,AYT,Edebiyat-Sosyal1,28,D
2022,AYT,Edebiyat-Sosyal1,29,C
2022,AYT,Edebiyat-Sosyal1,30,A
2022,AYT,Edebiyat-Sosyal1,31,E
2022,AYT,Edebiyat-Sosyal1,32,D
2022,AYT,Edebiyat-Sosyal1,33,A
2022,AYT,Edebiyat-Sosyal1,34,A
2022,AYT,Edebiyat-Sosyal1,35,C
2022,AYT,Edebiyat-Sosyal1,36,B
2022,AYT,Edebiyat-Sosyal1,37,C
2022,AYT,Edebiyat-Sosyal1,38,A
2022,AYT,Edebiyat-Sosyal1,39,C
2022,AYT,Edebiyat-Sosyal1,40,E
2022,AYT,Sosyal2,1,E
2022,AYT,Matematik,1,C
2022,AYT,Fen,1,D
2022,AYT,Sosyal2,2,A
2022,AYT,Matematik,2,B
2022,AYT,Fen,2,D
2022,AYT,Sosyal2,3,A
2022,AYT,Matematik,3,C
2022,AYT,Fen,3,A
2022,AYT,Sosyal2,4,C
2022,AYT,Matematik,4,A
2022,AYT,Fen,4,A
2022,AYT,Sosyal2,5,B
2022,AYT,Matematik,5,E
2022,AYT,Fen,5,A
2022,AYT,Sosyal2,6,A
2022,AYT,Matematik,6,A
2022,AYT,Fen,6,B
2022,AYT,Sosyal2,7,D
2022,AYT,Matematik,7,B
2022,AYT,Fen,7,E
2022,AYT,Sosyal2,8,B
2022,AYT,Matematik,8,D
2022,AYT,Fen,8,E
2022,AYT,Sosyal2,9,B
2022,AYT,Matematik,9,B
2022,AYT,Fen,9,C
2022,AYT,Sosyal2,10,B
2022,AYT,Matematik,10,D
2022,AYT,Fen,10,A
2022,AYT,Sosyal2,11,E
2022,AYT,Matematik,11,E
2022,AYT,Fen,11,E
2022,AYT,Sosyal2,12,D
2022,AYT,Matematik,12,C
2022,AYT,Fen,12,D
2022,AYT,Sosyal2,13,C
2022,AYT,Matematik,13,C
2022,AYT,Fen,13,D
